DONEM;YAYIM_TARIHI;YAYIM_SONU;GECERLILIK_TARIHI;GECERLILIK_SON;A;B;B1;C;C1;D;D1;E;E1;F;F1;G;G1;H
2025_2;31.05.2025;31.12.2025;31.05.2025;31.12.2025;100000000000000,00;1.428.525.000,00;1.224.450.000,00;1.020.375.000,00;850.312.500,00;680.250.000,00;510.187.500,00;391.143.750,00;272.100.000,00;204.075.000,00;151.780.781,25;107.139.375,00;76.528.125,00;51.018.750,00
2025_1;31.01.2025;30.05.2025;1.01.2025;30.05.2025;100000000000000,00;1.428.525.000,00;1.224.450.000,00;1.020.375.000,00;850.312.500,00;680.250.000,00;510.187.500,00;391.143.750,00;272.100.000,00;204.075.000,00;151.780.781,25;107.139.375,00;76.528.125,00;59.521.875,00
2024_1;20.02.2024;30.01.2025;1.01.2024;31.12.2024;100000000000000,00;983.430.000,00;842.940.000,00;702.450.000,00;585.375.000,00;468.300.000,00;351.225.000,00;269.272.500,00;187.320.000,00;140.490.000,00;104.489.437,50;73.757.250,00;52.683.750,00;40.976.250,00
2023_3;14.11.2023;19.02.2024;14.11.2023;31.12.2023;100000000000000,00;645.120.000,00;552.960.000,00;460.800.000,00;384.000.000,00;307.200.000,00;230.400.000,00;176.640.000,00;122.880.000,00;92.160.000,00;68.544.000,00;48.384.000,00;34.560.000,00;26.880.000,00
2023_2;12.08.2023;13.11.2023;1.07.2023;13.11.2023;100000000000000,00;645.120.000,00;552.960.000,00;460.800.000,00;384.000.000,00;307.200.000,00;230.400.000,00;153.600.000,00;122.880.000,00;92.160.000,00;68.544.000,00;48.384.000,00;34.560.000,00;26.880.000,00
2023_1;11.02.2023;11.08.2023;1.01.2023;30.06.2023;100000000000000,00;437.220.000,00;374.760.000,00;312.300.000,00;260.250.000,00;208.200.000,00;156.150.000,00;104.100.000,00;83.280.000,00;62.460.000,00;46.454.625,00;32.791.500,00;23.422.500,00;18.217.500,00
2022_3;13.09.2022;10.02.2023;1.07.2022;31.12.2022;100000000000000,00;319.410.000,00;273.780.000,00;228.150.000,00;190.125.000,00;152.100.000,00;114.075.000,00;76.050.000,00;60.840.000,00;45.630.000,00;33.937.312,50;23.955.750,00;17.111.250,00;13.308.750,00
2022_2;21.06.2022;12.09.2022;2.06.2022;30.06.2022;100000000000000,00;294.462.000,00;252.396.000,00;210.330.000,00;175.275.000,00;140.220.000,00;105.165.000,00;70.110.000,00;56.088.000,00;42.066.000,00;31.286.587,50;22.084.650,00;15.774.750,00;12.269.250,00
2022_1;18.02.2022;20.06.2022;1.01.2022;1.06.2022;100000000000000,00;206.010.000,00;176.580.000,00;147.150.000,00;122.625.000,00;98.100.000,00;73.575.000,00;49.050.000,00;39.240.000,00;29.430.000,00;21.888.562,50;15.450.750,00;11.036.250,00;8.583.750,00
2021_1;24.03.2021;17.02.2022;1.01.2021;31.12.2021;100000000000000,00;124.236.000,00;106.488.000,00;88.740.000,00;73.950.000,00;59.160.000,00;44.370.000,00;29.580.000,00;23.664.000,00;17.748.000,00;13.200.075,00;9.317.700,00;6.655.500,00;5.176.500,00
2020_2;3.10.2020;23.03.2021;3.10.2020;31.12.2020;100000000000000,00;100.170.000,00;85.860.000,00;71.550.000,00;59.625.000,00;47.700.000,00;35.775.000,00;23.850.000,00;19.080.000,00;14.310.000,00;10.643.062,50;7.512.750,00;5.366.250,00;4.173.750,00
2020_1;1.01.2020;2.10.2020;1.01.2020;2.10.2020;100000000000000,00;91.298.461,80;yok;65.213.187,00;yok;43.475.458,00;yok;21.737.729,00;yok;13.042.637,40;yok;6.847.384,64;yok;2.738.953,85
2019_2;21.09.2019;31.12.2019;21.09.2019;31.12.2019;100000000000000,00;85.039.551,80;yok;60.742.537,00;yok;40.495.024,67;yok;20.247.512,33;yok;12.148.507,40;yok;6.377.966,39;yok;2.551.186,55
2019_1;2.03.2019;20.09.2019;2.03.2019;20.09.2019;100000000000000,00;85.039.551,80;yok;60.742.537,00;yok;40.495.024,67;yok;20.247.512,33;yok;9.111.380,55;yok;6.377.966,39;yok;1.417.325,86
